factor,quantile,horizon_days,observations,avg_forward_return,median_forward_return,win_rate,max_drawdown,avg_excess_return
return_20d,1,20,12045,0.025285589108001178,0.004090663635825331,0.5119136571191366,-1.0,0.00999056031342826
return_20d,2,20,11476,0.027354580301376254,0.013853221298467222,0.5439177413733008,-0.9999998961646525,0.011991543164021455
return_20d,3,20,11993,0.027141161170862953,0.01698938139968753,0.5566580505294755,-0.9999999936072864,0.011834946515419636
return_20d,4,20,11476,0.03677981151490537,0.02008249101665105,0.5662251655629139,-0.999999999997389,0.021416774377550577
return_20d,5,20,12004,0.05761998240141412,0.0237232567652631,0.5584805064978341,-0.9999999999999811,0.04227397042956007
return_5d,1,5,12346,0.009033155919350817,0.0015867863559702045,0.5086667746638588,-0.9999972068340371,0.0052406069054875
return_5d,2,5,11760,0.007143570008202894,0.003937630904680578,0.5291666666666667,-0.9877205121452489,0.00333157793380664
return_5d,3,5,12294,0.007590735958802206,0.004941714470032221,0.5424597364568082,-0.9862363462961642,0.0037959396595703752
return_5d,4,5,11761,0.008165322815354283,0.005586631368284634,0.5363489499192245,-0.9905781161638595,0.0043540420814958194
return_5d,5,5,12306,0.009529614728328376,0.005119401944477575,0.5261660978384528,-0.9999880648912142,0.005721836033924343
return_5d,1,10,12246,0.016125763521043744,0.005371735807048972,0.5213947411399641,-0.999999999947339,0.00845940394361855
return_5d,2,10,11666,0.013810633651057986,0.0064447363532935675,0.5309446254071661,-0.9999532693138704,0.0061078880377420704
return_5d,3,10,12194,0.014315828794273875,0.00856129051204979,0.5428899458750205,-0.9981817909591459,0.006638623033918509
return_5d,4,10,11665,0.01622100494196262,0.009641830939032925,0.5475353621945992,-0.9996638730855396,0.00851751231896311
return_5d,5,10,12206,0.023471472629744264,0.010536470918038998,0.542356218253318,-0.9999999992069276,0.01577370884811751
return_5d,1,20,12046,0.030857672264526393,0.008789085979922007,0.5274780009961813,-1.0,0.01556002798760804
return_5d,2,20,11476,0.028615546986360308,0.012405430462892442,0.5402579295921924,-0.9999999518755762,0.01325250984900551
return_5d,3,20,11994,0.030188575606579476,0.01599329270241756,0.5524428881107221,-0.9999999133482604,0.014879608656707781
return_5d,4,20,11475,0.03509013034915105,0.019210514269377033,0.5608714596949891,-0.9999858619919643,0.01972397110200831
return_5d,5,20,12006,0.04942561968216814,0.021275270966026216,0.5558054306180243,-0.9999999999997532,0.03407900460422043
volume_change_20d,1,5,12345,0.007971116942110116,0.0043706462035715266,0.5258809234507897,-0.9984128010935094,0.004179735125724055
volume_change_20d,2,5,11761,0.006411142895856971,0.004358266346802031,0.5327778250148797,-0.9995888221646371,0.002599862161998508
volume_change_20d,3,5,12292,0.00788465507935971,0.004517192486532262,0.5321347217702571,-0.9975155371071971,0.004088056360230661
volume_change_20d,4,5,11761,0.008892165636595416,0.004408723664720782,0.5307371822123969,-0.998194217050417,0.005080884902736953
volume_change_20d,5,5,12305,0.010289723794371956,0.003630097060193682,0.521007720438846,-0.9999990939854,0.0064822815366724065
volume_change_20d,1,10,12245,0.015554785399221272,0.006244780002982564,0.5263372805226623,-0.9999943770843457,0.00788985941834361
volume_change_20d,2,10,11665,0.014176346089125838,0.006617748135426815,0.532618945563652,-0.9998837938128492,0.006472853466126329
volume_change_20d,3,10,12193,0.015945918761651717,0.009228024572737192,0.541704256540638,-0.999906973919167,0.00826999493364743
volume_change_20d,4,10,11666,0.01692746593582187,0.00962908217566072,0.5459454825990057,-0.999993210383641,0.009224720322505958
volume_change_20d,5,10,12205,0.021358355632768833,0.00922298649805997,0.5383859074149938,-0.9999999998352289,0.013660864923274554
volume_change_20d,1,20,12045,0.03621122572691686,0.016320380875699758,0.5491905354919053,-0.9999999986104251,0.020916196932343943
volume_change_20d,2,20,11476,0.032690060713765075,0.01346391231404831,0.543046357615894,-0.9999997199216003,0.01732702357641028
volume_change_20d,3,20,11993,0.031212743618088887,0.015129734149335494,0.5468189777370133,-0.9999999992750543,0.015906528962645567
volume_change_20d,4,20,11475,0.03552682276344547,0.01684527613215403,0.55520697167756,-0.9999999998471186,0.020160663516302732
volume_change_20d,5,20,12005,0.0386859924951352,0.014594851369564843,0.5422740524781341,-0.9999999999999998,0.02334296337914547
