policy_name,split_name,sample_count,total_buy_count,median_buy_count,minimum_buy_count,median_no_trade_count,median_buy_rate,worst_sample_ending_value,median_ending_account_value,worst_max_drawdown,median_simulated_win_rate,median_accuracy_1d,median_accuracy_3d,median_accuracy_5d,median_accuracy_10d,median_accuracy_20d,median_profit_factor,worst_trade_loss_percent,max_top_ticker_loss_share,max_top_theme_loss_share,median_ending_value_excluding_best_trade,total_excluded_trades,total_excluded_loser_count,total_excluded_winner_count,excluded_loser_dollars_avoided,excluded_winner_dollars_missed,median_overlay_false_positive_rate,median_overlay_false_negative_rate
overlay_theme_loss_cooldown_5pct_8,calibration,10,512,51.5,45,48.5,0.515,100.02061392048465,181.1856230782103,-0.48597808122712427,0.49195075757575757,0.513474025974026,0.4954545454545455,0.5766233766233766,0.6306818181818181,0.6336342229199372,1.565581877023443,-0.12240414276038443,0.2657251495126547,0.5941748494624761,147.22661483533082,350,161,189,1165.6423132378702,2277.7112851552984,0.5182926829268293,0.5080492424242424
overlay_theme_loss_cooldown_5pct_8,holdout,10,546,54.5,48,45.5,0.545,56.55013781867736,185.16552919258442,-0.5297894804831891,0.48316498316498313,0.5304075235109718,0.5224842767295598,0.55,0.5700559049615653,0.6276472853292261,1.5395766758372988,-0.12016325103045666,0.2588221452635139,0.5515894358905588,150.63476165437754,348,165,183,1163.8326730578272,2171.2099079633454,0.5071428571428571,0.5168350168350169
overlay_theme_loss_cooldown_5pct_8,validation,10,534,53.5,47,46.5,0.535,109.50273133209816,156.81203749125388,-0.4930778827282225,0.46071428571428574,0.522560528246515,0.5104211897524967,0.5273088381330685,0.5811546840958606,0.6038011695906433,1.3801937683479548,-0.11608187563561716,0.23415722151782956,0.5897043340775474,123.84143887914972,342,169,173,1207.7349390314632,2095.1031376617993,0.5132404181184669,0.5392857142857143
overlay_theme_loss_cooldown_8pct_3,calibration,10,786,78.0,75,22.0,0.78,167.59740300314832,287.5263128525878,-0.4860875114079193,0.5357142857142858,0.5572849807445444,0.5519568151147098,0.5760590500641849,0.6125,0.6601973684210527,1.7593764359717934,-0.12129646321160314,0.33094721129523386,0.5258038337895407,230.67890005384248,76,43,33,346.1710917682643,354.72583538654914,0.3875,0.4642857142857143
overlay_theme_loss_cooldown_8pct_3,holdout,10,816,82.0,80,18.0,0.82,162.02107020650632,228.26584709358272,-0.49463922028354523,0.5055555555555555,0.5465277777777777,0.524390243902439,0.5554878048780488,0.5889792231255646,0.6463414634146342,1.6025782063780807,-0.12088074218957494,0.30737021514907675,0.5146309093099909,191.26841200276843,78,41,37,322.2500181413374,518.2577954819546,0.5267857142857143,0.49444444444444446
overlay_theme_loss_cooldown_8pct_3,validation,10,799,79.5,78,20.5,0.795,178.18263306958403,220.37784998457835,-0.48958161235211417,0.4941860465116279,0.5398223426678712,0.5279320987654321,0.5370426829268293,0.5889039445950015,0.622626582278481,1.4667665655071795,-0.12285116614277314,0.3375122890444986,0.5836118614825762,183.61876042284342,77,39,38,305.6842771441592,469.9699898369657,0.5,0.5058139534883721
overlay_theme_loss_cooldown_8pct_5,calibration,10,752,75.5,72,24.5,0.755,163.89804857322216,307.62317278862065,-0.4348430865920645,0.5253283302063789,0.5583670715249662,0.5389676113360324,0.575187969924812,0.6168831168831168,0.6710526315789473,1.7764415417968615,-0.12139796728459674,0.2536790453915825,0.41750726948858985,258.11834828049865,110,64,46,493.9406070838651,518.5071272016258,0.4145299145299145,0.474671669793621
overlay_theme_loss_cooldown_8pct_5,holdout,10,776,77.5,74,22.5,0.775,163.12755556951296,225.907760334901,-0.48962199282409147,0.4888888888888889,0.5452702702702703,0.542997542997543,0.5542207792207792,0.6012820512820513,0.6536226930963773,1.5681530721489767,-0.11902265919239349,0.2696637740008008,0.4192694607825077,188.0308031849867,118,64,54,472.58256552423705,714.6385518454148,0.4226190476190476,0.5111111111111111
overlay_theme_loss_cooldown_8pct_5,validation,10,762,76.0,73,24.0,0.76,177.37992307186178,233.45857705477368,-0.4914868070827534,0.5,0.5389676113360324,0.5286432976306394,0.5427643133122586,0.6025641025641025,0.638157894736842,1.534137218388705,-0.1229554484155248,0.25444625558766326,0.49197933395990834,191.01381155620362,114,65,49,479.55283484622356,614.7389903048113,0.40909090909090906,0.5
overlay_theme_loss_cooldown_8pct_8,calibration,10,700,70.0,66,30.0,0.7,190.78902536296914,302.29704036181397,-0.4600463722446627,0.5317307692307692,0.573385518590998,0.5610766045548654,0.5847726821520747,0.6339090728608299,0.6928571428571428,1.9038093248746484,-0.12222495888390117,0.2519140618942333,0.3978083202366605,252.68539582027768,162,93,69,693.1189492011742,759.2375851192483,0.424812030075188,0.46826923076923077
overlay_theme_loss_cooldown_8pct_8,holdout,10,730,73.0,70,27.0,0.73,180.6432456452511,222.99447051818083,-0.5020431431606529,0.5,0.5424641148325359,0.5509636767976279,0.5531933819605053,0.6157894736842104,0.6621004566210045,1.5839072481747576,-0.12019159256649659,0.2699507605799737,0.3956553814883989,183.84453528016007,164,88,76,644.5605676126471,956.5837408429561,0.48412698412698413,0.5
overlay_theme_loss_cooldown_8pct_8,validation,10,723,72.5,69,27.5,0.725,186.66863495554296,248.63239078985015,-0.4473318606854584,0.5128205128205128,0.5336257309941521,0.5406392694063926,0.5531400966183575,0.6147660818713451,0.648306697108067,1.656645585798921,-0.12224381571802521,0.28992475239064497,0.468228874998783,205.1639965537621,153,90,63,650.5596665695726,772.6315473997942,0.39522058823529416,0.48717948717948717
overlay_ticker_loss_cooldown_10pct_10,calibration,10,852,85.0,82,15.0,0.85,137.8129672318874,243.4139844282703,-0.5504555148498118,0.5171775898520085,0.5502523128679563,0.5587176291372387,0.5706716036772217,0.5954290296712108,0.6450098121670872,1.5230884880991788,-0.12004988411559323,0.38064424833674393,0.5250898138828126,196.06681624807703,10,4,6,37.314686525617276,99.19996979549956,0.0,0.48282241014799154
overlay_ticker_loss_cooldown_10pct_10,holdout,10,884,88.0,85,12.0,0.88,191.39391152341082,237.34364358697704,-0.4908790044538742,0.5161887141535615,0.5475031210986268,0.5287356321839081,0.5511429678419217,0.5674242424242424,0.625,1.5544456029652352,-0.12290579040323074,0.2914630015639451,0.532002580354337,202.51319174691673,10,5,5,44.31026650782988,73.60253507723125,0.0,0.4838112858464385
overlay_ticker_loss_cooldown_10pct_10,validation,10,862,86.0,84,14.0,0.86,162.97394521508963,226.9328232447085,-0.5515302093630572,0.49468085106382975,0.5385154061624651,0.5402511566424322,0.5380300957592339,0.5653906454141625,0.6299465240641711,1.451576581343422,-0.11946051931003697,0.3159951123180114,0.5512217912203895,192.88189151988763,14,7,7,61.215568837846945,111.40140966851374,0.16666666666666666,0.5053191489361701
overlay_ticker_loss_cooldown_10pct_15,calibration,10,852,85.0,82,15.0,0.85,137.8129672318874,243.4139844282703,-0.5504555148498118,0.5171775898520085,0.5502523128679563,0.5587176291372387,0.5706716036772217,0.5954290296712108,0.6450098121670872,1.5230884880991788,-0.12004988411559323,0.38064424833674393,0.5250898138828126,196.06681624807703,10,4,6,37.314686525617276,99.19996979549956,0.0,0.48282241014799154
