sample_id,policy_name,drawdown_start_replay_date,drawdown_end_replay_date,drawdown_depth,number_of_trades_in_drawdown,tickers_in_drawdown,themes_in_drawdown,worst_trade_in_drawdown,whether_overlay_excluded_worst_trade,whether_overlay_reduced_drawdown,whether_overlay_delayed_or_shifted_drawdown
8,candidate34_frozen_baseline,2024-01-23,2024-08-29,-0.37541389879871434,9,"AFRM,CCJ,GM,HPE,IREN,LI,PLTR,RKLB,SMCI","AI / software,AI infrastructure,EV / mobility,crypto-adjacent / high beta,fintech,space / defense / nuclear",2024-08-29 AFRM pnl=-3.40,False,,
8,candidate35_trend_quality_frozen,2025-07-10,2026-03-05,-0.335938298327621,13,"CORZ,F,INTC,JOBY,MRNA,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-05 NVAX pnl=-16.94,False,,
8,overlay_market_regime_risk_off_skip,2025-07-10,2026-03-05,-0.3433887584520091,13,"CORZ,F,INTC,JOBY,MRNA,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-05 NVAX pnl=-16.94,False,,
8,overlay_high_volatility_tail_skip,2024-10-04,2024-12-12,-0.16079573011178527,4,"HOOD,PLTR,SOFI","AI / software,fintech",2024-12-12 SOFI pnl=-7.82,True,,
8,overlay_theme_loss_cooldown_5pct_3,2025-01-30,2026-03-05,-0.37467451947732977,19,"ACHR,CORZ,F,HPE,KTOS,MRNA,NVAX,SOFI,XPEV","AI infrastructure,EV / mobility,biotech,crypto-adjacent / high beta,fintech,space / defense / nuclear",2026-03-05 NVAX pnl=-12.42,False,,
8,overlay_theme_loss_cooldown_5pct_5,2025-07-10,2026-03-13,-0.34707666916746227,12,"CORZ,F,HPE,MRNA,NVAX,SOFI","AI infrastructure,EV / mobility,biotech,crypto-adjacent / high beta,fintech",2026-03-13 NVAX pnl=-15.47,True,,
8,overlay_theme_loss_cooldown_5pct_8,2025-07-10,2026-01-21,-0.2898454641487015,10,"CORZ,F,HPE,JOBY,MRNA,SOFI","AI infrastructure,EV / mobility,biotech,crypto-adjacent / high beta,fintech",2026-01-21 MRNA pnl=-8.74,False,,
8,overlay_theme_loss_cooldown_8pct_3,2025-07-10,2026-03-05,-0.2989780730184679,12,"CORZ,F,HPE,MRNA,NVAX,SOFI,XPEV","AI infrastructure,EV / mobility,biotech,crypto-adjacent / high beta,fintech",2026-03-05 NVAX pnl=-19.20,False,,
8,overlay_theme_loss_cooldown_8pct_5,2025-07-10,2026-03-13,-0.3366642244993826,12,"CORZ,F,HPE,MRNA,NVAX,SOFI","AI infrastructure,EV / mobility,biotech,crypto-adjacent / high beta,fintech",2026-03-13 NVAX pnl=-17.85,True,,
8,overlay_theme_loss_cooldown_8pct_8,2025-07-10,2026-01-21,-0.20217851125507313,9,"CORZ,F,HPE,MRNA,SOFI","AI infrastructure,EV / mobility,biotech,crypto-adjacent / high beta,fintech",2026-01-21 MRNA pnl=-13.11,False,,
