feature_name,sample_id,winner_count,loser_count,winner_mean,loser_mean,winner_median,loser_median,loser_minus_winner_mean,loser_minus_winner_median,simple_separation_score,missing_rate,notes
distance_from_20d_high_pct,5,11,17,-0.08334036865865996,-0.039955648304597635,-0.061782157067025056,-0.029343231528411673,0.04338472035406232,0.03243892553861338,0.7018762575861034,0.0,distance_from_20d_high_pct_higher_for_losers
distance_from_52w_high_pct,5,11,17,-0.11323548383729619,-0.06571822727087497,-0.08576052179459481,-0.09018180153586652,0.04751725656642122,-0.004421279741271711,0.3722911507761903,0.0,distance_from_52w_high_pct_higher_for_losers
return_1d_prior,5,11,17,0.09280726222680835,0.08850222555629746,0.020633801985441735,0.06151891309773161,-0.004305036670510895,0.040885111112289874,0.021068777483203627,0.0,return_1d_prior_lower_for_losers
return_5d_prior,5,11,17,0.20974803184481577,0.26748047966751715,0.18203311824632862,0.20416889146127226,0.05773244782270137,0.022135773214943644,0.3068506734207939,0.0,return_5d_prior_higher_for_losers
return_10d_prior,5,11,16,0.2797160190580445,0.422074303261718,0.14560072879631392,0.2950352614698293,0.14235828420367352,0.14943453267351536,0.3701983133429559,0.03571428571428571,return_10d_prior_higher_for_losers
return_20d_prior,5,11,17,0.38340586316181563,0.5607643387544846,0.2427325764066881,0.45089664524089246,0.17735847559266898,0.20816406883420435,0.36626049196893334,0.0,return_20d_prior_higher_for_losers
max_single_day_loss_20d,5,11,16,-0.06783410109035214,-0.05914786701009935,-0.04654142395546801,-0.05656516501411474,0.008686234080252785,-0.010023741058646729,0.1877268657269155,0.03571428571428571,max_single_day_loss_20d_higher_for_losers
near_max_entry_price_pct,5,11,17,0.4781090831756592,0.47409411766949827,0.43400001525878906,0.3715999984741211,-0.004014965506160928,-0.062400016784667944,0.01407799894429853,0.0,near_max_entry_price_pct_lower_for_losers
atr_pct,6,15,19,0.05588830413194871,0.0549453869789829,0.05116924428667251,0.0569877760493582,-0.0009429171529658081,0.005818531762685694,0.05819036028300531,0.0,atr_pct_lower_for_losers
volatility_20d,6,14,17,0.05473578660066552,0.05527915321564925,0.05284675757733011,0.04169615888833875,0.0005433666149837341,-0.011150598688991362,0.013479797081961075,0.08823529411764706,volatility_20d_higher_for_losers
entry_gap_pct,6,15,19,0.01310204691784731,0.006457385175510872,0.0014947312345512387,0.004012032174693925,-0.006644661742336438,0.002517300940142686,0.21332304650835607,0.0,entry_gap_pct_lower_for_losers
decision_strength,6,15,19,0.739825208794348,0.6949395613291443,0.7494082455214949,0.6547619047619047,-0.04488564746520374,-0.09464634075959022,0.30523319659779313,0.0,decision_strength_lower_for_losers
smoke_score,6,15,19,0.9406563575586346,0.9296074503278108,0.9555555555555555,0.9257142857142858,-0.011048907230823857,-0.02984126984126967,0.23645483610057344,0.0,smoke_score_lower_for_losers
relative_volume_prev20,6,15,19,3.869347890437232,3.731774429764309,2.8805644680867526,2.4022659450971884,-0.13757346067292264,-0.4782985229895642,0.054273075063614826,0.0,relative_volume_prev20_lower_for_losers
distance_from_20d_high_pct,6,15,19,-0.029480055965000636,-0.05117496555439593,-0.02712935614048917,-0.04598572141452073,-0.02169490958939529,-0.01885636527403156,0.5918490717490732,0.0,distance_from_20d_high_pct_lower_for_losers
distance_from_52w_high_pct,6,15,19,-0.025147557671250965,-0.048141701845426876,-0.009622510158290187,-0.081306709007269,-0.02299414417417591,-0.07168419884897881,0.18900693999467086,0.0,distance_from_52w_high_pct_lower_for_losers
return_1d_prior,6,15,19,0.12773315881025263,0.10290035748375954,0.12640675076638375,0.046719230059895756,-0.024832801326493084,-0.07968752070648799,0.2028374536343263,0.0,return_1d_prior_lower_for_losers
return_5d_prior,6,15,19,0.29768227178351586,0.2582614140746748,0.2163636467673562,0.1355101916254784,-0.03942085770884107,-0.0808534551418778,0.12395399770285329,0.0,return_5d_prior_lower_for_losers
